Model,MAE,MSE,RMSE,R²
polynomial_regression,431.01117194417003,5623274.214307633,2371.344389646437,0.682439975498601
gradient_descent,1.1688162068098573e+18,1.91212574434705e+36,1.3827963495565967e+18,-1.0798240937275157e+29
linear_regression,1386.7001479534251,5019714.031445614,2240.471832325864,0.7165244926594507
lasso_regression,1386.561531082584,5020537.61987096,2240.655622774495,0.7164779826102223
random_forest,377.14113530326597,612809.4672356144,782.8214785221561,0.9653931531677952
ridge_regression,1385.936681248089,5075374.179336037,2252.8591121807945,0.7133812282099132
elastic_net,1659.8917662593105,7809667.24776516,2794.5781878067323,0.5589690226669068
